Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Wed,2018-09-26,18:30,Düsseldorf,2.2,1–2,1.7,Leverkusen,40046,Merkur Spielarena,Manuel Gräfe,Match Report,
Regular Season,5,Wed,2018-09-26,20:30,M'Gladbach,1.6,3–1,1.3,Eint Frankfurt,41257,Stadion im Borussia-Park,Sven Jablonski,Match Report,
Regular Season,5,Wed,2018-09-26,20:30,Mainz 05,0.4,0–0,1.0,Wolfsburg,19205,Opel Arena,Tobias Stieler,Match Report,
Regular Season,5,Wed,2018-09-26,20:30,Dortmund,2.1,7–0,0.1,Nürnberg,75700,Signal Iduna Park,Patrick Ittrich,Match Report,
Regular Season,5,Wed,2018-09-26,20:30,RB Leipzig,3.2,2–0,0.7,Stuttgart,32187,Red Bull Arena,Robert Schröder,Match Report,
,,,,,,,,,,,,,,
Regular Season,6,Fri,2018-09-28,20:30,Hertha BSC,1.1,2–0,1.8,Bayern Munich,74669,Olympiastadion Berlin,Marco Fritz,Match Report,
Regular Season,6,Sat,2018-09-29,15:30,Schalke 04,1.0,1–0,0.9,Mainz 05,61810,Veltins-Arena,Benjamin Cortus,Match Report,
Regular Season,6,Sat,2018-09-29,15:30,Stuttgart,2.3,2–1,1.5,Werder Bremen,58569,Mercedes-Benz Arena,Tobias Welz,Match Report,
Regular Season,6,Sat,2018-09-29,15:30,Hoffenheim,1.8,1–2,1.6,RB Leipzig,28115,PreZero Arena,Deniz Aytekin,Match Report,
Regular Season,6,Sat,2018-09-29,15:30,Wolfsburg,1.3,2–2,0.7,M'Gladbach,24100,Volkswagen Arena,Felix Zwayer,Match Report,
Regular Season,6,Sat,2018-09-29,15:30,Nürnberg,2.2,3–0,1.1,Düsseldorf,36102,Max-Morlock-Stadion,Harm Osmers,Match Report,
Regular Season,6,Sat,2018-09-29,18:30,Leverkusen,1.1,2–4,2.7,Dortmund,30210,BayArena,Felix Brych,Match Report,
Regular Season,6,Sun,2018-09-30,15:30,Eint Frankfurt,2.1,4–1,0.4,Hannover 96,46300,Commerzbank-Arena,Robert Hartmann,Match Report,
Regular Season,6,Sun,2018-09-30,18:00,Augsburg,3.8,4–1,1.5,Freiburg,26488,WWK Arena,Robert Kampka,Match Report,
,,,,,,,,,,,,,,
Regular Season,7,Fri,2018-10-05,20:30,Werder Bremen,1.0,2–0,0.4,Wolfsburg,42100,Weserstadion,Martin Petersen,Match Report,
Regular Season,7,Sat,2018-10-06,15:30,Düsseldorf,0.6,0–2,1.6,Schalke 04,52000,Merkur Spielarena,Sven Jablonski,Match Report,
Regular Season,7,Sat,2018-10-06,15:30,Dortmund,1.9,4–3,2.2,Augsburg,81365,Signal Iduna Park,Markus Schmidt,Match Report,
Regular Season,7,Sat,2018-10-06,15:30,Mainz 05,2.1,0–0,1.5,Hertha BSC,22405,Opel Arena,Daniel Schlager,Match Report,
Regular Season,7,Sat,2018-10-06,15:30,Hannover 96,1.7,3–1,0.9,Stuttgart,40800,HDI-Arena,Sascha Stegemann,Match Report,
Regular Season,7,Sat,2018-10-06,18:30,Bayern Munich,1.6,0–3,0.5,M'Gladbach,75000,Allianz Arena,Frank Willenborg,Match Report,
Regular Season,7,Sun,2018-10-07,13:30,Freiburg,0.3,0–0,1.1,Leverkusen,23800,Schwarzwald-Stadion,Bastian Dankert,Match Report,
Regular Season,7,Sun,2018-10-07,15:30,Hoffenheim,2.2,1–2,1.0,Eint Frankfurt,29785,PreZero Arena,Daniel Siebert,Match Report,
Regular Season,7,Sun,2018-10-07,18:00,RB Leipzig,2.1,6–0,0.2,Nürnberg,37389,Red Bull Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,,,,
Regular Season,8,Fri,2018-10-19,20:30,Eint Frankfurt,3.7,7–1,1.0,Düsseldorf,51000,Commerzbank-Arena,Deniz Aytekin,Match Report,
Regular Season,8,Sat,2018-10-20,15:30,Augsburg,0.2,0–0,0.9,RB Leipzig,28703,WWK Arena,Tobias Welz,Match Report,
