match_id,home,round,season,team,xg,xg_against,score,score_against
50,0,6,2017-18,Wolfsburg,1.0,2.9,2,2
51,1,6,2017-18,RB Leipzig,2.0,1.1,2,1
51,0,6,2017-18,Eint Frankfurt,1.1,2.0,1,2
52,1,6,2017-18,Werder Bremen,1.8,1.3,0,0
52,0,6,2017-18,Freiburg,1.3,1.8,0,0
53,1,6,2017-18,Hoffenheim,2.0,1.7,2,0
53,0,6,2017-18,Schalke 04,1.7,2.0,0,2
54,1,6,2017-18,Stuttgart,0.7,0.8,0,0
54,0,6,2017-18,Augsburg,0.8,0.7,0,0
55,1,6,2017-18,Mainz 05,1.1,0.6,1,0
55,0,6,2017-18,Hertha BSC,0.6,1.1,0,1
56,1,6,2017-18,Dortmund,2.6,1.3,6,1
56,0,6,2017-18,M'Gladbach,1.3,2.6,1,6
57,1,6,2017-18,Hannover 96,1.3,1.2,0,0
57,0,6,2017-18,Köln,1.2,1.3,0,0
58,1,6,2017-18,Leverkusen,2.4,0.5,3,0
58,0,6,2017-18,Hamburger SV,0.5,2.4,0,3
60,1,7,2017-18,Schalke 04,1.2,1.1,1,1
60,0,7,2017-18,Leverkusen,1.1,1.2,1,1
61,1,7,2017-18,Augsburg,1.8,2.4,1,2
61,0,7,2017-18,Dortmund,2.4,1.8,2,1
62,1,7,2017-18,M'Gladbach,2.2,1.4,2,1
62,0,7,2017-18,Hannover 96,1.4,2.2,1,2
63,1,7,2017-18,Eint Frankfurt,1.3,1.5,2,1
63,0,7,2017-18,Stuttgart,1.5,1.3,1,2
64,1,7,2017-18,Wolfsburg,0.9,0.9,1,1
64,0,7,2017-18,Mainz 05,0.9,0.9,1,1
65,1,7,2017-18,Hamburger SV,1.0,0.5,0,0
65,0,7,2017-18,Werder Bremen,0.5,1.0,0,0
66,1,7,2017-18,Freiburg,1.1,1.1,3,2
66,0,7,2017-18,Hoffenheim,1.1,1.1,2,3
67,1,7,2017-18,Hertha BSC,2.0,1.8,2,2
67,0,7,2017-18,Bayern Munich,1.8,2.0,2,2
68,1,7,2017-18,Köln,1.7,2.6,1,2
68,0,7,2017-18,RB Leipzig,2.6,1.7,2,1
70,1,8,2017-18,Stuttgart,2.6,1.7,2,1
70,0,8,2017-18,Köln,1.7,2.6,1,2
71,1,8,2017-18,Bayern Munich,2.0,0.6,5,0
71,0,8,2017-18,Freiburg,0.6,2.0,0,5
72,1,8,2017-18,Hannover 96,1.0,0.8,1,2
72,0,8,2017-18,Eint Frankfurt,0.8,1.0,2,1
73,1,8,2017-18,Mainz 05,1.1,1.6,3,2
73,0,8,2017-18,Hamburger SV,1.6,1.1,2,3
74,1,8,2017-18,Hertha BSC,0.3,1.7,0,2
74,0,8,2017-18,Schalke 04,1.7,0.3,2,0
75,1,8,2017-18,Hoffenheim,1.8,1.1,2,2
75,0,8,2017-18,Augsburg,1.1,1.8,2,2
76,1,8,2017-18,Dortmund,3.1,2.3,2,3
76,0,8,2017-18,RB Leipzig,2.3,3.1,3,2
77,1,8,2017-18,Leverkusen,1.9,1.5,2,2
77,0,8,2017-18,Wolfsburg,1.5,1.9,2,2
78,1,8,2017-18,Werder Bremen,1.4,2.1,0,2
78,0,8,2017-18,M'Gladbach,2.1,1.4,2,0
80,1,9,2017-18,Schalke 04,2.0,0.5,2,0
80,0,9,2017-18,Mainz 05,0.5,2.0,0,2
81,1,9,2017-18,RB Leipzig,1.0,0.6,1,0
81,0,9,2017-18,Stuttgart,0.6,1.0,0,1
82,1,9,2017-18,Augsburg,1.4,1.0,1,2
82,0,9,2017-18,Hannover 96,1.0,1.4,2,1
83,1,9,2017-18,M'Gladbach,1.9,2.4,1,5
83,0,9,2017-18,Leverkusen,2.4,1.9,5,1
84,1,9,2017-18,Eint Frankfurt,2.4,2.1,2,2
84,0,9,2017-18,Dortmund,2.1,2.4,2,2
85,1,9,2017-18,Hamburger SV,0.2,2.3,0,1
85,0,9,2017-18,Bayern Munich,2.3,0.2,1,0
86,1,9,2017-18,Köln,2.0,1.0,0,0
86,0,9,2017-18,Werder Bremen,1.0,2.0,0,0
87,1,9,2017-18,Freiburg,3.0,2.0,1,1
87,0,9,2017-18,Hertha BSC,2.0,3.0,1,1
88,1,9,2017-18,Wolfsburg,1.5,1.9,1,1
88,0,9,2017-18,Hoffenheim,1.9,1.5,1,1
90,1,10,2017-18,Mainz 05,0.4,0.8,1,1
90,0,10,2017-18,Eint Frankfurt,0.8,0.4,1,1
91,1,10,2017-18,Hertha BSC,0.9,0.8,2,1
91,0,10,2017-18,Hamburger SV,0.8,0.9,1,2
92,1,10,2017-18,Schalke 04,1.5,1.3,1,1
92,0,10,2017-18,Wolfsburg,1.3,1.5,1,1
93,1,10,2017-18,Hoffenheim,1.0,1.8,1,3
93,0,10,2017-18,M'Gladbach,1.8,1.0,3,1
94,1,10,2017-18,Hannover 96,2.6,1.0,4,2
94,0,10,2017-18,Dortmund,1.0,2.6,2,4
95,1,10,2017-18,Leverkusen,1.9,0.4,2,1
95,0,10,2017-18,Köln,0.4,1.9,1,2
96,1,10,2017-18,Bayern Munich,1.9,0.2,2,0
96,0,10,2017-18,RB Leipzig,0.2,1.9,0,2
97,1,10,2017-18,Werder Bremen,1.1,2.8,0,3
97,0,10,2017-18,Augsburg,2.8,1.1,3,0
98,1,10,2017-18,Stuttgart,1.3,0.5,3,0
98,0,10,2017-18,Freiburg,0.5,1.3,0,3
100,1,11,2017-18,Eint Frankfurt,2.1,1.3,2,1
100,0,11,2017-18,Werder Bremen,1.3,2.1,1,2
101,1,11,2017-18,Freiburg,1.2,0.7,0,1
101,0,11,2017-18,Schalke 04,0.7,1.2,1,0
102,1,11,2017-18,RB Leipzig,2.1,1.0,2,1
102,0,11,2017-18,Hannover 96,1.0,2.1,1,2
103,1,11,2017-18,M'Gladbach,0.9,0.9,1,1
103,0,11,2017-18,Mainz 05,0.9,0.9,1,1
104,1,11,2017-18,Hamburger SV,1.6,1.1,3,1
104,0,11,2017-18,Stuttgart,1.1,1.6,1,3
105,1,11,2017-18,Augsburg,1.2,0.6,1,1
105,0,11,2017-18,Leverkusen,0.6,1.2,1,1
106,1,11,2017-18,Dortmund,3.1,1.5,1,3
106,0,11,2017-18,Bayern Munich,1.5,3.1,3,1
107,1,11,2017-18,Köln,1.1,2.7,0,3
107,0,11,2017-18,Hoffenheim,2.7,1.1,3,0
108,1,11,2017-18,Wolfsburg,2.4,1.5,3,3
108,0,11,2017-18,Hertha BSC,1.5,2.4,3,3
110,1,12,2017-18,Stuttgart,2.1,1.9,2,1
110,0,12,2017-18,Dortmund,1.9,2.1,1,2
111,1,12,2017-18,Mainz 05,1.7,0.8,1,0
111,0,12,2017-18,Köln,0.8,1.7,0,1
112,1,12,2017-18,Leverkusen,2.2,2.3,2,2
112,0,12,2017-18,RB Leipzig,2.3,2.2,2,2
113,1,12,2017-18,Hoffenheim,1.1,0.8,1,1
113,0,12,2017-18,Eint Frankfurt,0.8,1.1,1,1
114,1,12,2017-18,Bayern Munich,1.7,0.5,3,0
114,0,12,2017-18,Augsburg,0.5,1.7,0,3
115,1,12,2017-18,Wolfsburg,2.7,1.0,3,1
115,0,12,2017-18,Freiburg,1.0,2.7,1,3
116,1,12,2017-18,Hertha BSC,1.5,1.4,2,4
116,0,12,2017-18,M'Gladbach,1.4,1.5,4,2
117,1,12,2017-18,Schalke 04,1.9,1.2,2,0
117,0,12,2017-18,Hamburger SV,1.2,1.9,0,2
118,1,12,2017-18,Werder Bremen,2.8,1.3,4,0
118,0,12,2017-18,Hannover 96,1.3,2.8,0,4
120,1,13,2017-18,Hannover 96,1.6,1.3,1,1
120,0,13,2017-18,Stuttgart,1.3,1.6,1,1
121,1,13,2017-18,Freiburg,2.9,0.9,2,1
121,0,13,2017-18,Mainz 05,0.9,2.9,1,2
122,1,13,2017-18,Augsburg,2.4,0.2,2,1
122,0,13,2017-18,Wolfsburg,0.2,2.4,1,2
123,1,13,2017-18,Eint Frankfurt,0.6,1.1,0,1
123,0,13,2017-18,Leverkusen,1.1,0.6,1,0
124,1,13,2017-18,RB Leipzig,1.2,1.0,2,0
124,0,13,2017-18,Werder Bremen,1.0,1.2,0,2
125,1,13,2017-18,Dortmund,1.8,1.8,4,4
125,0,13,2017-18,Schalke 04,1.8,1.8,4,4
126,1,13,2017-18,M'Gladbach,2.4,1.9,2,1
126,0,13,2017-18,Bayern Munich,1.9,2.4,1,2
127,1,13,2017-18,Hamburger SV,1.7,1.1,3,0
127,0,13,2017-18,Hoffenheim,1.1,1.7,0,3
128,1,13,2017-18,Köln,1.1,2.0,0,2
128,0,13,2017-18,Hertha BSC,2.0,1.1,2,0
130,1,14,2017-18,Freiburg,1.3,0.7,0,0
130,0,14,2017-18,Hamburger SV,0.7,1.3,0,0
131,1,14,2017-18,Leverkusen,2.0,0.8,1,1
131,0,14,2017-18,Dortmund,0.8,2.0,1,1
132,1,14,2017-18,Werder Bremen,1.1,1.1,1,0
132,0,14,2017-18,Stuttgart,1.1,1.1,0,1
