Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-08-18,20:30,Bayern Munich,2.5,3–1,2.1,Leverkusen,75000,Allianz Arena,Tobias Stieler,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hoffenheim,1.2,1–0,1.0,Werder Bremen,30150,Dietmar-Hopp-Stadion,Guido Winkmann,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Mainz 05,0.9,0–1,0.7,Hannover 96,28279,Opel Arena,Felix Brych,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Wolfsburg,0.5,0–3,1.1,Dortmund,30000,Volkswagen Arena,Robert Hartmann,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hamburger SV,0.7,1–0,0.6,Augsburg,49449,Volksparkstadion,Daniel Siebert,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hertha BSC,0.7,2–0,1.2,Stuttgart,44751,Olympiastadion Berlin,Sascha Stegemann,Match Report,
Regular Season,1,Sat,2017-08-19,18:30,Schalke 04,1.6,2–0,0.9,RB Leipzig,61435,Veltins-Arena,Felix Zwayer,Match Report,
Regular Season,1,Sun,2017-08-20,15:30,Freiburg,0.2,0–0,1.3,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
Regular Season,1,Sun,2017-08-20,18:00,M'Gladbach,1.5,1–0,1.0,Köln,54018,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,,
Regular Season,2,Fri,2017-08-25,20:30,Köln,2.3,1–3,1.7,Hamburger SV,50000,RheinEnergieSTADION,Felix Brych,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Stuttgart,2.3,1–0,0.9,Mainz 05,53100,Mercedes-Benz Arena,Benjamin Brand,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Eint Frankfurt,1.4,0–1,1.0,Wolfsburg,46000,Commerzbank-Arena,Benjamin Cortus,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Werder Bremen,0.4,0–2,1.8,Bayern Munich,42100,Weserstadion,Bastian Dankert,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Leverkusen,2.6,2–2,0.7,Hoffenheim,27106,BayArena,Harm Osmers,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Augsburg,3.3,2–2,1.4,M'Gladbach,29243,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,2,Sat,2017-08-26,18:30,Dortmund,2.2,2–0,0.7,Hertha BSC,80860,Signal Iduna Park,Marco Fritz,Match Report,
Regular Season,2,Sun,2017-08-27,15:30,RB Leipzig,3.1,4–1,0.4,Freiburg,39265,Red Bull Arena,Christian Dingert,Match Report,
Regular Season,2,Sun,2017-08-27,18:00,Hannover 96,0.9,1–0,0.4,Schalke 04,49000,HDI-Arena,Patrick Ittrich,Match Report,
,,,,,,,,,,,,,,
Regular Season,3,Fri,2017-09-08,20:30,Hamburger SV,0.9,0–2,2.4,RB Leipzig,50231,Volksparkstadion,Deniz Aytekin,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,M'Gladbach,0.9,0–1,0.4,Eint Frankfurt,51431,Stadion im Borussia-Park,Robert Kampka,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Mainz 05,1.3,3–1,0.9,Leverkusen,24876,Opel Arena,Markus Schmidt,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Wolfsburg,1.4,1–1,1.0,Hannover 96,27321,Volkswagen Arena,Felix Zwayer,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Augsburg,2.0,3–0,0.7,Köln,27510,WWK Arena,Tobias Stieler,Match Report,
